Object_ID,Interception,Recent Saccade,Time to Contact,Smoothed Recent Saccade,Smoothed Time to Contact
1,5.627197265625,5.6159656047821045,0.011231660842895508,5.619956016540527,0.007241249084472656
2,6.495586395263672,6.492025136947632,0.003561258316040039,6.492025136947632,0.003561258316040039
3,8.427635192871094,8.42395806312561,0.0036771297454833984,8.42395806312561,0.0036771297454833984
4,10.167778015136719,10.155889511108398,0.011888504028320312,10.12795352935791,0.039824485778808594
5,11.087066650390625,11.08408808708191,0.0029785633087158203,11.062062501907349,0.025004148483276367
6,13.257453918457031,13.249802589416504,0.007651329040527344,13.249802589416504,0.007651329040527344
7,14.697700500488281,14.682590007781982,0.015110492706298828,14.519843101501465,0.1778573989868164
8,16.36895751953125,16.062071561813354,0.3068859577178955,15.985563516616821,0.3833940029144287
9,17.31787872314453,17.215819120407104,0.10205960273742676,16.92674160003662,0.39113712310791016
10,18.73499298095703,18.73184061050415,0.0031523704528808594,18.719815015792847,0.01517796516418457
11,20.115371704101562,20.107848644256592,0.007523059844970703,20.071837663650513,0.043534040451049805
12,21.654891967773438,21.6420681476593,0.012823820114135742,21.475857496261597,0.17903447151184082
13,23.43647003173828,23.43192410469055,0.004545927047729492,23.38379168510437,0.05267834663391113
14,24.54114532470703,24.522281169891357,0.018864154815673828,24.509832620620728,0.03131270408630371
15,26.271873474121094,26.25984215736389,0.012031316757202148,26.103934049606323,0.1679394245147705
