id,Intercepted,Spawning
1.0,4.770454406738281,4.009529113769531
2.0,6.422004699707031,5.523735046386719
3.0,7.775230407714844,7.032218933105469
4.0,9.355545043945312,8.535415649414062
5.0,10.585113525390625,10.040847778320312
6.0,12.213668823242188,11.55096435546875
7.0,14.077392578125,13.07244873046875
8.0,15.338134765625,14.581451416015625
9.0,16.683761596679688,16.08453369140625
10.0,18.313919067382812,17.58905029296875
11.0,19.664337158203125,19.104888916015625
12.0,21.593063354492188,20.603439331054688
13.0,22.718734741210938,22.104263305664062
14.0,24.45855712890625,23.609359741210938
15.0,26.05621337890625,25.117019653320312
