id,start_time,end_time
2.0,2.0095138549804688,2.87445068359375
1.0,3.0935516357421875,3.8021240234375
3.0,3.879364013671875,4.8709869384765625
3.0,4.880821228027344,5.4575042724609375
4.0,5.47015380859375,5.789955139160156
3.0,5.82135009765625,6.253631591796875
4.0,6.2649078369140625,6.556816101074219
3.0,6.5856170654296875,6.87286376953125
4.0,6.8841400146484375,6.8841400146484375
5.0,6.948570251464844,7.909889221191406
5.0,8.081291198730469,8.261886596679688
6.0,8.295013427734375,9.289512634277344
6.0,9.2978515625,9.377525329589844
7.0,9.623634338378906,10.597511291503906
7.0,10.625846862792969,10.7193603515625
8.0,11.423759460449219,12.419754028320312
8.0,12.434303283691406,12.520889282226562
9.0,12.592079162597656,13.582725524902344
9.0,13.593124389648438,14.088897705078125
10.0,14.266815185546875,14.728157043457031
11.0,15.252098083496094,16.24700927734375
11.0,16.264625549316406,16.373916625976562
12.0,17.348350524902344,17.953285217285156
13.0,18.499954223632812,19.366477966308594
13.0,19.668746948242188,19.826126098632812
14.0,19.862403869628906,20.6478271484375
14.0,21.168968200683594,21.724082946777344
15.0,21.782760620117188,22.74401092529297
